Variety,Shape,Sieve,Aroma,Flavor,Aftertaste,Acidity,Body,Uniformity,Balance,clean cup,Sweetness,Taster´s score,Final score
OA,FL,17,7.0,7.0,7.0,7.0,7.0,10.0,7.0,10,10,7.0,79.0
OA,FL,17,7.0,6.75,6.5,6.5,6.25,10.0,6.5,10,10,6.5,76.0
OA,FL,17,6.5,6.5,6.0,6.0,6.0,10.0,6.0,10,10,6.0,73.0
OA,FL,17,6.5,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.5
OA,FL,18,6.25,6.5,6.25,6.5,6.25,10.0,6.25,10,10,6.5,74.5
OA,FL,18,6.0,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.0
OA,FL,18,6.5,6.25,6.25,6.0,6.25,10.0,6.25,10,10,6.25,73.75
OA,FL,18,6.5,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.5
OA,FL,18,6.25,6.0,6.0,6.0,6.0,10.0,6.25,10,10,6.25,72.75
OA,FL,18,7.25,7.0,7.0,7.0,7.25,10.0,7.0,10,10,7.0,79.5
OA,FL,18,7.0,6.75,6.5,6.25,6.25,10.0,6.5,10,10,6.5,75.75
OA,FL,18,6.0,6.0,6.0,6.25,7.0,10.0,6.0,10,10,6.0,73.25
OA,FL,18,6.5,6.0,6.0,6.0,6.25,10.0,6.0,10,10,6.0,72.75
OA,FL,18,6.0,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.25,72.25
OA,FL,18,6.0,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.5,72.5
OA,FL,18,6.25,6.25,6.25,6.0,6.25,10.0,6.0,10,10,6.25,73.25
OA,FL,18,6.25,6.25,6.25,6.25,6.25,10.0,6.25,10,10,6.25,73.75
